"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CP058289.1","NZ_CP058289.1","SAMN15099408",1,"OXA-98","Italy","Europe & Central Asia","2014","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Urine","","","chromosome"
"NZ_AP014622.1","NZ_AP014622.1","SAMD00018700",2,"OXA-488,IMP-34","Japan","East Asia & Pacific","2012","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"Multidrug-resistant Pseudomonas aeruginosa",NA,"chromosome"
"NZ_AP014646.1","NZ_AP014646.1","SAMD00019082",2,"OXA-488,IMP-34","Japan","East Asia & Pacific","2012","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_AP014649.1","NZ_AP014649.1","SAMD00020223",3,"OXA-104,OXA-23,NDM-1","Nepal","South Asia","2013","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_AP014650.1","NZ_AP014650.1","SAMD00020223",1,"PER-7","Nepal","South Asia","2013","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_AP014651.1","NZ_AP014651.1","SAMD00020552",3,"OXA-4,OXA-846,IMP-1","Japan","East Asia & Pacific","2004","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"Urinary infection",NA,"chromosome"
"NZ_AP014839.1","NZ_AP014839.1","SAMD00027370",1,"OXA-486","Japan","East Asia & Pacific","1989","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP017302.1","NZ_AP017302.1","SAMD00042491",1,"OXA-488","Nepal","South Asia","2012","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP017618.1","NZ_AP017618.1","SAMD00056131",1,"CTX-M-27","Japan","East Asia & Pacific","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"plasmid"
"NZ_AP017621.1","NZ_AP017621.1","SAMD00056132",1,"CTX-M-27","Japan","East Asia & Pacific","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"plasmid"
"NZ_AP023077.1","NZ_AP023077.1","SAMD00059694",1,"OXA-208","missing","missing","2015","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"chromosome"
"NZ_AP023080.1","NZ_AP023080.1","SAMD00059694",1,"OXA-58","missing","missing","2015","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"plasmid"
"NZ_AP018750.1","NZ_AP018750.1","SAMD00059741",4,"SHV-28,CTX-M-15,OXA-1,NDM-1","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human urine",NA,"chromosome"
"NZ_AP018752.1","NZ_AP018752.1","SAMD00059741",3,"TEM-213,CTX-M-15,OXA-9","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human urine",NA,"plasmid"
"NZ_AP018753.1","NZ_AP018753.1","SAMD00059744",4,"SHV-28,CTX-M-15,OXA-1,NDM-1","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human urine",NA,"chromosome"
"NZ_AP018755.1","NZ_AP018755.1","SAMD00059744",3,"TEM-243,CTX-M-15,OXA-9","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human urine",NA,"plasmid"
"NZ_AP018147.1","NZ_AP018147.1","SAMD00059754",2,"TEM-1,NDM-5","Myanmar","East Asia & Pacific","2015","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human blood",NA,"plasmid"
"NZ_AP019190.1","NZ_AP019190.1","SAMD00059754",1,"CMY-42","Myanmar","East Asia & Pacific","2015","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"human blood",NA,"plasmid"
"NC_012731.1","NC_012731.1","SAMD00060934",1,"SHV-11","missing","missing","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"isolated from blood of a patient with liver abscess and meningitis",NA,NA,"chromosome"
"NC_013365.1","NC_013365.1","SAMD00060957",1,"TEM-1","missing","missing","missing","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"plasmid"
"NC_017549.1","NC_017549.1","SAMD00061003",3,"TEM-1,OXA-488,IMP-1","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_AP012496.1","NZ_AP012496.1","SAMD00061007",1,"TEM-1","missing","missing","missing","Bacillus subtilis","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes",NA,NA,NA,NA,"chromosome"
"NZ_AP013064.1","NZ_AP013064.1","SAMD00061009",2,"CMY-8,IMP-66","missing","missing","missing","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"plasmid"
"NZ_AP013357.1","NZ_AP013357.1","SAMD00061019",2,"OXA-23,OXA-66","missing","missing","missing","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_BFCA01000003.1","NZ_BFCA01000003.1","SAMD00066597",2,"TEM-1,CTX-M-14","Japan","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"missing",NA,"plasmid"
"NZ_BFCA01000004.1","NZ_BFCA01000004.1","SAMD00066597",1,"KPC-2","Japan","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"missing",NA,"plasmid"
"NZ_AP024113.1","NZ_AP024113.1","SAMD00077025",1,"TEM-1","Japan","East Asia & Pacific","2004","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP018380.1","NZ_AP018380.1","SAMD00092833",1,"TEM-135","Japan","East Asia & Pacific","2015","Neisseria gonorrhoeae","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018384.1","NZ_AP018384.1","SAMD00092837",1,"TEM-135","Japan","East Asia & Pacific","2015","Neisseria gonorrhoeae","Neisseria","Neisseriaceae","Neisseriales","Betaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023292.1","NZ_AP023292.1","SAMD00097500",1,"TEM-1","Japan","East Asia & Pacific","2014","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"chromosome"
"NZ_AP023294.1","NZ_AP023294.1","SAMD00097501",1,"TEM-1","Japan","East Asia & Pacific","2014","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"chromosome"
"NZ_AP023289.1","NZ_AP023289.1","SAMD00097506",1,"TEM-1","Japan","East Asia & Pacific","2008","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"chromosome"
"NZ_AP023291.1","NZ_AP023291.1","SAMD00097514",1,"TEM-1","Japan","East Asia & Pacific","1998","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"chromosome"
"NZ_AP023219.2","NZ_AP023219.2","SAMD00099774",1,"OXA-1","Myanmar","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP023220.2","NZ_AP023220.2","SAMD00099774",2,"TEM-1,NDM-5","Myanmar","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023221.2","NZ_AP023221.2","SAMD00099774",2,"TEM-1,CTX-M-15","Myanmar","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP022351.1","NZ_AP022351.1","SAMD00108729",2,"CTX-M-14,IMP-6","Japan","East Asia & Pacific","2015","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP018747.1","NZ_AP018747.1","SAMD00110861",3,"SHV-28,CTX-M-15,OXA-1","Thailand","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"urine",NA,"chromosome"
"NZ_AP018748.1","NZ_AP018748.1","SAMD00110861",4,"TEM-1,CTX-M-15,OXA-1,NDM-1","Thailand","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"urine",NA,"plasmid"
"NZ_AP018565.1","NZ_AP018565.1","SAMD00112925",2,"TEM-1,NDM-1","Vietnam","East Asia & Pacific","2016","Morganella morganii","Morganella","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018571.1","NZ_AP018571.1","SAMD00112928",2,"SHV-134,NDM-1","Vietnam","East Asia & Pacific","2016","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018572.1","NZ_AP018572.1","SAMD00112930",5,"TEM-105,TEM-213,TEM-215,CTX-M-55,NDM-1","Vietnam","East Asia & Pacific","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018574.1","NZ_AP018574.1","SAMD00112930",1,"TEM-1","Vietnam","East Asia & Pacific","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018577.1","NZ_AP018577.1","SAMD00112932",3,"CTX-M-15,OXA-1,NDM-1","Vietnam","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018578.1","NZ_AP018578.1","SAMD00112933",3,"CTX-M-15,OXA-1,NDM-1","Vietnam","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018579.1","NZ_AP018579.1","SAMD00112934",3,"CTX-M-15,OXA-1,NDM-1","Vietnam","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018580.1","NZ_AP018580.1","SAMD00112935",1,"NDM-1","Vietnam","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018582.1","NZ_AP018582.1","SAMD00112937",1,"NDM-1","Vietnam","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018583.1","NZ_AP018583.1","SAMD00112940",3,"TEM-1,CTX-M-3,NDM-1","Vietnam","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018584.1","NZ_AP018584.1","SAMD00112942",4,"TEM-132,SHV-28,OXA-896,NDM-4","Vietnam","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP018557.1","NZ_AP018557.1","SAMD00114672",2,"CTX-M-2,IMP-1","missing","missing","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP018671.1","NZ_AP018671.1","SAMD00116246",1,"SHV-11","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP018672.1","NZ_AP018672.1","SAMD00116246",1,"TEM-1","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP018673.1","NZ_AP018673.1","SAMD00116246",1,"OXA-1","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP018674.1","NZ_AP018674.1","SAMD00116246",1,"KPC-5","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP018783.1","NZ_AP018783.1","SAMD00119544",1,"TEM-1","Japan","East Asia & Pacific","2015","Haemophilus influenzae","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP018797.1","NZ_AP018797.1","SAMD00129666",1,"TEM-1","Japan","East Asia & Pacific","2001","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"plasmid"
"NZ_AP018799.1","NZ_AP018799.1","SAMD00129666",1,"TEM-1","Japan","East Asia & Pacific","2001","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"plasmid"
"NZ_AP018803.1","NZ_AP018803.1","SAMD00129667",1,"TEM-1","Japan","East Asia & Pacific","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bos taurus",NA,"missing",NA,"plasmid"
"NZ_AP018926.1","NZ_AP018926.1","SAMD00133818",1,"CTX-M-55","Japan","East Asia & Pacific","2012","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023337.1","NZ_AP023337.1","SAMD00141414",1,"SHV-11","Vietnam","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP023341.1","NZ_AP023341.1","SAMD00141414",2,"TEM-105,CTX-M-15","Vietnam","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019382.1","NZ_AP019382.1","SAMD00143514",1,"IMP-1","Japan","East Asia & Pacific","2012","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019384.1","NZ_AP019384.1","SAMD00143517",1,"IMP-1","Japan","East Asia & Pacific","2014","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019383.1","NZ_AP019383.1","SAMD00143518",1,"IMP-1","Japan","East Asia & Pacific","2013","Enterobacter asburiae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019387.1","NZ_AP019387.1","SAMD00143519",1,"IMP-1","Japan","East Asia & Pacific","2015","Enterobacter asburiae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019388.1","NZ_AP019388.1","SAMD00143520",1,"IMP-1","Japan","East Asia & Pacific","2015","Enterobacter asburiae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019193.1","NZ_AP019193.1","SAMD00144877",1,"OXA-726","Japan","East Asia & Pacific","2018","Aeromonas hydrophila","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP019194.1","NZ_AP019194.1","SAMD00144877",2,"TEM-160,KPC-2","Japan","East Asia & Pacific","2018","Aeromonas hydrophila","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP019195.1","NZ_AP019195.1","SAMD00144878",1,"OXA-780","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP019196.1","NZ_AP019196.1","SAMD00144878",1,"OXA-732","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP019197.1","NZ_AP019197.1","SAMD00144878",2,"TEM-160,KPC-2","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP023224.1","NZ_AP023224.1","SAMD00157542",1,"CMY-2","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP023225.1","NZ_AP023225.1","SAMD00157542",6,"TEM-1,TEM-205,TEM-235,CTX-M-15,OXA-1,NDM-5","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023226.1","NZ_AP023226.1","SAMD00157544",1,"CTX-M-15","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP023228.1","NZ_AP023228.1","SAMD00157544",3,"CTX-M-150,CTX-M-236,OXA-796","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023231.2","NZ_AP023231.2","SAMD00157545",1,"NDM-5","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023232.2","NZ_AP023232.2","SAMD00157545",2,"TEM-1,CTX-M-15","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023236.1","NZ_AP023236.1","SAMD00157547",2,"TEM-1,NDM-5","Myanmar","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP023237.1","NZ_AP023237.1","SAMD00157562",1,"CMY-2","Myanmar","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"chromosome"
"NZ_AP023238.1","NZ_AP023238.1","SAMD00157562",2,"TEM-1,NDM-5","Myanmar","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"plasmid"
"NZ_AP019665.1","NZ_AP019665.1","SAMD00163748",1,"SHV-11","missing","missing","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"chromosome"
"NZ_AP019667.1","NZ_AP019667.1","SAMD00163748",2,"TEM-1,IMP-68","missing","missing","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"plasmid"
"NZ_AP019668.1","NZ_AP019668.1","SAMD00163748",2,"TEM-1,SHV-11","missing","missing","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"plasmid"
"NZ_AP024560.1","NZ_AP024560.1","SAMD00164387",1,"CMY-2","Cambodia","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP024561.1","NZ_AP024561.1","SAMD00164388",3,"CMY-132,CMY-139,OXA-796","Cambodia","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
